emotion,gender,block,picture,duration,mask
angry,M,2,29M_AN_C.png,0.017,mask_07F_FE_O.png
angry,M,2,35M_AN_C.png,0.017,mask_37M_HA_C.png
angry,M,2,21M_AN_C.png,0.017,mask_41M_SA_O.png
angry,M,2,42M_AN_C.png,0.017,mask_23M_HA_C.png
angry,M,2,31M_AN_C.png,0.034,mask_10F_CA_O.png
angry,M,2,25M_AN_C.png,0.034,mask_13F_FE_O.png
angry,M,2,28M_AN_C.png,0.034,mask_21M_SP_O.png
angry,M,2,22M_AN_C.png,0.034,mask_22M_AN_C.png
angry,M,2,36M_AN_C.png,0.034,mask_27M_SA_C.png
angry,M,2,41M_AN_C.png,0.034,mask_34M_CA_C.png
angry,M,2,24M_AN_C.png,0.034,mask_07F_HA_O.png
angry,M,2,30M_AN_C.png,0.034,mask_07F_HA_X.png
angry,M,2,29M_AN_C.png,0.034,mask_37M_FE_C.png
angry,M,2,35M_AN_C.png,0.034,mask_42M_NE_O.png
angry,M,2,21M_AN_C.png,0.034,mask_28M_CA_O.png
angry,M,2,42M_AN_C.png,0.034,mask_24M_NE_C.png
angry,M,2,31M_AN_C.png,0.050,mask_06F_AN_O.png
angry,M,2,25M_AN_C.png,0.050,mask_38M_NE_O.png
angry,M,2,28M_AN_C.png,0.050,mask_03F_SA_O.png
angry,M,2,22M_AN_C.png,0.050,mask_12F_AN_O.png
angry,M,2,36M_AN_C.png,0.050,mask_30M_NE_C.png
angry,M,2,41M_AN_C.png,0.050,mask_28M_DI_O.png
angry,M,2,24M_AN_C.png,0.050,mask_23M_FE_C.png
angry,M,2,30M_AN_C.png,0.050,mask_34M_DI_C.png
angry,M,2,29M_AN_C.png,0.050,mask_13F_HA_X.png
angry,M,2,35M_AN_C.png,0.050,mask_13F_HA_O.png
angry,M,2,21M_AN_C.png,0.050,mask_20M_CA_C.png
angry,M,2,42M_AN_C.png,0.050,mask_27M_AN_O.png
neutral,M,2,31M_NE_C.png,0.017,mask_42M_SP_O.png
neutral,M,2,28M_NE_C.png,0.017,mask_22M_SA_O.png
neutral,M,2,23M_NE_C.png,0.017,mask_40M_HA_C.png
neutral,M,2,37M_NE_C.png,0.017,mask_05F_NE_C.png
neutral,M,2,30M_NE_C.png,0.017,mask_09F_CA_O.png
neutral,M,2,24M_NE_C.png,0.017,mask_38M_SP_O.png
neutral,M,2,29M_NE_C.png,0.017,mask_08F_NE_C.png
neutral,M,2,36M_NE_C.png,0.017,mask_33M_SA_C.png
neutral,M,2,22M_NE_C.png,0.017,mask_36M_AN_C.png
neutral,M,2,27M_NE_C.png,0.017,mask_14F_NE_O.png
neutral,M,2,33M_NE_C.png,0.017,mask_35M_SP_O.png
neutral,M,2,21M_NE_C.png,0.017,mask_10F_DI_O.png
neutral,M,2,31M_NE_C.png,0.034,mask_07F_FE_O.png
neutral,M,2,28M_NE_C.png,0.034,mask_37M_HA_C.png
neutral,M,2,23M_NE_C.png,0.034,mask_41M_SA_O.png
neutral,M,2,37M_NE_C.png,0.034,mask_23M_HA_C.png
neutral,M,2,30M_NE_C.png,0.034,mask_10F_CA_O.png
neutral,M,2,24M_NE_C.png,0.034,mask_13F_FE_O.png
neutral,M,2,29M_NE_C.png,0.034,mask_21M_SP_O.png
neutral,M,2,36M_NE_C.png,0.034,mask_22M_AN_C.png
neutral,M,2,22M_NE_C.png,0.034,mask_27M_SA_C.png
neutral,M,2,27M_NE_C.png,0.034,mask_34M_CA_C.png
neutral,M,2,33M_NE_C.png,0.034,mask_07F_HA_O.png
neutral,M,2,21M_NE_C.png,0.034,mask_07F_HA_X.png
neutral,M,2,31M_NE_C.png,0.050,mask_37M_FE_C.png
neutral,M,2,28M_NE_C.png,0.050,mask_42M_NE_O.png
neutral,M,2,23M_NE_C.png,0.050,mask_08F_NE_C.png
neutral,M,2,37M_NE_C.png,0.050,mask_33M_SA_C.png
neutral,M,2,30M_NE_C.png,0.050,mask_36M_AN_C.png
neutral,M,2,24M_NE_C.png,0.050,mask_14F_NE_O.png
neutral,M,2,29M_NE_C.png,0.050,mask_35M_SP_O.png
neutral,M,2,36M_NE_C.png,0.050,mask_10F_DI_O.png
neutral,M,2,22M_NE_C.png,0.050,mask_07F_FE_O.png
neutral,M,2,27M_NE_C.png,0.050,mask_37M_HA_C.png
neutral,M,2,33M_NE_C.png,0.050,mask_41M_SA_O.png
neutral,M,2,21M_NE_C.png,0.050,mask_23M_HA_C.png
happy,F,3,03F_HA_C.png,0.017,mask_10F_CA_O.png
happy,F,3,08F_HA_C.png,0.017,mask_13F_FE_O.png
happy,F,3,11F_HA_C.png,0.017,mask_21M_SP_O.png
happy,F,3,05F_HA_C.png,0.017,mask_22M_AN_C.png
happy,F,3,09F_HA_C.png,0.017,mask_27M_SA_C.png
happy,F,3,10F_HA_C.png,0.017,mask_34M_CA_C.png
happy,F,3,01F_HA_C.png,0.017,mask_07F_HA_O.png
happy,F,3,13F_HA_C.png,0.017,mask_07F_HA_X.png
happy,F,3,07F_HA_C.png,0.017,mask_37M_FE_C.png
happy,F,3,14F_HA_C.png,0.017,mask_42M_NE_O.png
happy,F,3,06F_HA_C.png,0.017,mask_28M_CA_O.png
happy,F,3,12F_HA_C.png,0.017,mask_24M_NE_C.png
happy,F,3,03F_HA_C.png,0.034,mask_06F_AN_O.png
happy,F,3,08F_HA_C.png,0.034,mask_38M_NE_O.png
happy,F,3,11F_HA_C.png,0.034,mask_03F_SA_O.png
happy,F,3,05F_HA_C.png,0.034,mask_12F_AN_O.png
happy,F,3,09F_HA_C.png,0.034,mask_30M_NE_C.png
happy,F,3,10F_HA_C.png,0.034,mask_28M_DI_O.png
happy,F,3,01F_HA_C.png,0.034,mask_23M_FE_C.png
happy,F,3,13F_HA_C.png,0.034,mask_34M_DI_C.png
happy,F,3,07F_HA_C.png,0.034,mask_13F_HA_X.png
happy,F,3,14F_HA_C.png,0.034,mask_13F_HA_O.png
happy,F,3,06F_HA_C.png,0.034,mask_20M_CA_C.png
happy,F,3,12F_HA_C.png,0.034,mask_27M_AN_O.png
happy,F,3,03F_HA_C.png,0.050,mask_42M_SP_O.png
happy,F,3,08F_HA_C.png,0.050,mask_22M_SA_O.png
happy,F,3,11F_HA_C.png,0.050,mask_40M_HA_C.png
happy,F,3,05F_HA_C.png,0.050,mask_05F_NE_C.png
happy,F,3,09F_HA_C.png,0.050,mask_09F_CA_O.png
happy,F,3,10F_HA_C.png,0.050,mask_38M_SP_O.png
happy,F,3,01F_HA_C.png,0.050,mask_07F_FE_O.png
happy,F,3,13F_HA_C.png,0.050,mask_37M_HA_C.png
happy,F,3,07F_HA_C.png,0.050,mask_41M_SA_O.png
happy,F,3,14F_HA_C.png,0.050,mask_23M_HA_C.png
happy,F,3,06F_HA_C.png,0.050,mask_10F_CA_O.png
happy,F,3,12F_HA_C.png,0.050,mask_13F_FE_O.png
neutral,F,3,09F_NE_C.png,0.017,mask_42M_NE_O.png
neutral,F,3,10F_NE_C.png,0.017,mask_28M_CA_O.png
neutral,F,3,08F_NE_C.png,0.017,mask_06F_AN_O.png
neutral,F,3,11F_NE_C.png,0.017,mask_38M_NE_O.png
neutral,F,3,05F_NE_C.png,0.017,mask_03F_SA_O.png
neutral,F,3,03F_NE_C.png,0.017,mask_12F_AN_O.png
neutral,F,3,06F_NE_C.png,0.017,mask_30M_NE_C.png
